Age,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
14,Yes,Yes,Yes,Mathematics,Yes,4,4,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,3,1,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
11,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Any language,Yes,4,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Any language,Yes,5,3,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,No,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,4,No,No,No,No,No,5,Academics
13,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,No,4,2,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Any language,Yes,2,2,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Any language,Yes,5,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Science,No,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,No,4,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Science,No,5,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,4,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,No,2,1,No,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,3,5,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Science,Yes,4,5,No,No,No,No,No,2,Academics
11,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,4,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Any language,Yes,4,4,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Any language,Yes,5,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,No,3,1,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,4,2,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,History/Geography,Yes,3,2,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Any language,Yes,3,3,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Mathematics,No,4,2,No,No,No,No,No,2,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,No,No,3,Academics
14,Yes,Yes,Yes,Mathematics,Yes,2,2,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,Yes,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,1,Yes,No,Yes,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
13,Yes,Yes,Yes,Any language,Yes,3,2,Yes,No,Yes,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,No,2,3,No,No,Yes,Yes,No,3,Academics
14,Yes,Yes,Yes,Any language,Yes,5,5,Yes,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,Yes,No,3,Academics
14,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,No,No,Yes,No,No,1,Academics
13,Yes,Yes,Yes,Any language,Yes,3,3,Yes,No,Yes,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
10,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,Yes,No,2,Academics
11,Yes,Yes,Yes,Mathematics,No,3,2,Yes,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Any language,Yes,2,3,Yes,No,Yes,Yes,No,3,Academics
10,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,No,3,2,No,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
14,Yes,Yes,No,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
11,Yes,Yes,Yes,History/Geography,No,2,2,Yes,No,Yes,Yes,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
14,Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,Yes,Yes,Yes,Maybe,4,Academics
12,Yes,Yes,Yes,Mathematics,Yes,3,3,No,Yes,No,Yes,No,2,Academics
14,Yes,Yes,Yes,History/Geography,No,4,4,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,3,3,Yes,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,Maybe,2,Academics
15,Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,Yes,No,1,Academics
10,Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,1,3,Yes,No,No,No,No,3,Academics
14,Yes,Yes,Yes,History/Geography,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,3,Academics
15,Yes,Yes,Yes,Mathematics,No,1,4,No,No,No,No,Maybe,1,Academics
12,Yes,Yes,Yes,Mathematics,No,2,2,Yes,No,Yes,No,No,2,Academics
11,Yes,Yes,Yes,Any language,Yes,2,3,Yes,No,No,No,No,2,Academics
15,Yes,Yes,Yes,History/Geography,Yes,2,5,No,Yes,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,4,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,Yes,Yes,No,No,2,Academics
17,Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,1,Academics
14,Yes,Yes,Yes,Science,No,4,2,Yes,No,Yes,No,No,3,Academics
13,Yes,Yes,Yes,Any language,Yes,4,1,Yes,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Science,Yes,3,5,Yes,No,Yes,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,Yes,No,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,4,5,Yes,No,Yes,Yes,No,2,Academics
13,Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,No,No,1,Academics
17,Yes,Yes,No,Mathematics,No,4,3,Yes,No,No,Yes,No,2,Academics
17,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,No,3,1,No,No,Yes,No,No,2,Academics
11,Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,2,4,No,Yes,No,No,Maybe,3,Academics
10,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
11,Yes,Yes,Yes,Any language,No,4,2,Yes,No,No,Yes,No,2,Academics
15,Yes,Yes,Yes,Science,No,2,2,Yes,No,Yes,Yes,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,1,3,Yes,No,Yes,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,Yes,No,5,Academics
16,Yes,Yes,Yes,Mathematics,Yes,1,2,No,No,No,Yes,No,1,Academics
10,Yes,Yes,Yes,History/Geography,Yes,4,4,Yes,No,No,No,No,5,Academics
16,Yes,Yes,Yes,Mathematics,No,3,1,No,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,No,4,3,Yes,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Science,No,3,1,Yes,No,Yes,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,2,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,2,Yes,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,3,1,Yes,No,Yes,Yes,No,1,Academics
16,Yes,Yes,Yes,Science,No,4,3,Yes,No,Yes,Yes,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,4,4,Yes,No,No,Yes,No,1,Academics
12,Yes,Yes,Yes,Mathematics,No,3,1,No,No,Yes,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,5,1,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,5,3,No,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,Yes,No,2,Academics
16,Yes,Yes,Yes,Any language,No,4,3,No,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,Yes,No,1,Academics
17,Yes,Yes,Yes,Mathematics,No,4,3,No,No,Yes,Yes,No,1,Academics
16,Yes,Yes,Yes,Mathematics,No,4,3,No,Yes,Yes,Yes,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,2,3,No,Yes,Yes,No,No,2,Academics
15,Yes,Yes,Yes,History/Geography,Yes,4,5,No,Yes,No,No,Maybe,3,Academics
15,Yes,Yes,Yes,History/Geography,No,4,2,Yes,No,Yes,No,No,2,Academics
11,Yes,Yes,Yes,Science,No,3,5,No,No,Yes,Yes,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,4,3,Yes,No,No,No,No,3,Academics
14,Yes,Yes,Yes,Mathematics,No,4,3,No,No,Yes,Yes,No,3,Academics
16,Yes,Yes,Yes,Science,Yes,2,3,No,No,Yes,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
16,Yes,Yes,Yes,History/Geography,Yes,3,3,Yes,No,Yes,Yes,No,3,Academics
13,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
10,Yes,Yes,Yes,Mathematics,No,1,2,Yes,No,Yes,Yes,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,2,2,No,No,No,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,5,3,Yes,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,History/Geography,No,4,2,No,No,Yes,Yes,No,2,Academics
17,Yes,Yes,Yes,Any language,Yes,5,3,Yes,No,Yes,No,No,1,Academics
17,Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,Yes,Yes,Yes,No,1,Academics
15,Yes,Yes,Yes,Any language,Yes,5,2,Yes,Yes,Yes,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,3,Academics
13,Yes,Yes,Yes,Any language,Yes,3,1,Yes,Yes,Yes,Yes,Maybe,2,Academics
13,Yes,Yes,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,Yes,2,Academics
15,Yes,Yes,Yes,Science,No,4,3,No,No,No,Yes,Maybe,3,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,1,Yes,Yes,Yes,Yes,Maybe,2,Academics
16,Yes,Yes,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
11,Yes,Yes,Yes,Mathematics,Yes,5,5,Yes,Yes,Yes,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
11,Yes,Yes,Yes,Any language,Yes,3,3,Yes,Yes,No,No,Yes,2,Academics
14,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Any language,No,4,2,Yes,No,Yes,Yes,No,2,Academics
16,Yes,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,Mathematics,No,3,2,Yes,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,2,No,Yes,Yes,Yes,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,4,3,Yes,No,Yes,Yes,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,4,Yes,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,No,3,1,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,Yes,1,Academics
11,Yes,Yes,Yes,Science,No,3,1,No,No,Yes,No,Yes,1,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,Yes,No,Yes,No,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,Maybe,1,Academics
16,Yes,Yes,No,Any language,No,4,2,Yes,No,Yes,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,No,2,2,Yes,No,Yes,No,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Mathematics,No,2,3,No,No,Yes,No,No,3,Academics
17,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,Yes,No,3,Academics
13,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,Yes,No,2,Academics
16,Yes,Yes,Yes,History/Geography,Yes,5,4,Yes,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,No,3,3,Yes,No,Yes,No,No,1,Academics
17,Yes,Yes,Yes,Any language,Yes,2,3,No,No,No,No,Maybe,2,Academics
15,Yes,Yes,Yes,Science,No,3,1,Yes,No,Yes,Yes,No,3,Academics
13,Yes,No,Yes,Science,Yes,2,3,Yes,No,No,Yes,Yes,3,Academics
11,Yes,No,Yes,Mathematics,No,3,3,No,No,No,No,Maybe,2,Academics
16,Yes,Yes,No,Mathematics,No,5,4,No,Yes,Yes,No,No,3,Academics
14,Yes,No,Yes,Mathematics,Yes,3,2,No,Yes,No,Yes,No,1,Academics
14,Yes,Yes,Yes,Any language,No,2,3,Yes,No,No,Yes,Maybe,2,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
11,Yes,No,Yes,Mathematics,No,3,3,Yes,Yes,No,Yes,No,3,Academics
14,Yes,No,Yes,Science,No,5,3,No,No,Yes,Yes,No,3,Academics
10,Yes,No,Yes,Mathematics,Yes,2,5,Yes,Yes,No,No,Yes,1,Academics
14,Yes,No,Yes,Mathematics,Yes,2,2,Yes,Yes,No,Yes,No,2,Academics
11,Yes,No,Yes,Mathematics,No,3,5,No,No,No,No,Maybe,1,Academics
11,Yes,No,No,Any language,No,4,2,Yes,No,Yes,No,Yes,1,Academics
11,Yes,Yes,Yes,Mathematics,No,3,5,No,No,Yes,Yes,No,3,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,Yes,1,Academics
15,Yes,No,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
15,Yes,No,Yes,Mathematics,Yes,3,3,Yes,No,Yes,No,Yes,2,Academics
17,Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
13,Yes,No,No,Any language,No,4,2,Yes,No,Yes,Yes,Maybe,3,Academics
13,Yes,Yes,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,2,Academics
16,Yes,Yes,No,History/Geography,No,4,3,No,No,No,No,Maybe,3,Academics
12,Yes,Yes,Yes,Science,Yes,5,6,Yes,No,No,No,No,2,Academics
17,Yes,No,Yes,Any language,Yes,4,2,Yes,No,Yes,No,Yes,2,Academics
10,Yes,No,Yes,Science,Yes,4,3,No,No,Yes,Yes,Maybe,2,Academics
17,Yes,Yes,Yes,Science,No,3,2,No,No,Yes,Yes,No,3,Academics
10,Yes,No,Yes,Science,No,4,4,Yes,No,Yes,Yes,No,1,Academics
16,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,Yes,No,2,Academics
14,Yes,No,Yes,Any language,Yes,2,4,Yes,No,Yes,No,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,Yes,1,Academics
11,Yes,Yes,No,Science,No,4,3,No,No,Yes,No,No,3,Academics
14,Yes,No,Yes,Mathematics,Yes,1,6,Yes,No,No,No,Yes,4,Academics
17,Yes,No,No,Mathematics,No,2,2,No,Yes,No,Yes,No,1,Academics
14,Yes,No,Yes,Mathematics,No,1,4,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,No,2,2,Yes,No,Yes,No,No,2,Academics
15,Yes,Yes,No,History/Geography,No,5,3,No,No,No,No,Maybe,2,Academics
14,Yes,Yes,No,Mathematics,No,4,3,No,Yes,Yes,Yes,No,3,Academics
15,Yes,Yes,Yes,Any language,Yes,2,6,Yes,No,No,No,No,2,Academics
15,Yes,No,Yes,Mathematics,Yes,3,4,No,No,No,No,Yes,1,Academics
17,Yes,Yes,No,Science,No,2,2,No,Yes,No,Yes,No,1,Academics
10,Yes,Yes,Yes,Science,Yes,4,1,Yes,No,Yes,No,No,1,Academics
13,Yes,No,No,Any language,Yes,5,1,No,Yes,No,Yes,Yes,1,Academics
17,Yes,Yes,No,Science,No,5,3,Yes,Yes,Yes,Yes,Maybe,1,Academics
16,Yes,No,Yes,Any language,No,4,2,Yes,No,Yes,No,No,3,Academics
14,Yes,No,Yes,Any language,Yes,4,1,Yes,No,No,Yes,Maybe,1,Academics
15,Yes,No,Yes,Science,Yes,3,5,Yes,No,Yes,No,Yes,2,Academics
13,Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,Yes,Maybe,1,Academics
12,Yes,No,Yes,Mathematics,No,5,3,No,No,Yes,Yes,No,3,Academics
14,Yes,No,Yes,Any language,Yes,3,3,Yes,Yes,Yes,No,Yes,2,Academics
13,Yes,No,Yes,Science,Yes,4,1,Yes,No,No,No,No,1,Academics
15,Yes,No,Yes,Mathematics,No,4,2,Yes,No,Yes,Yes,No,3,Academics
11,Yes,No,Yes,Science,Yes,3,5,No,No,Yes,No,Yes,2,Academics
17,Yes,Yes,Yes,Mathematics,No,4,2,No,No,No,Yes,Maybe,3,Academics
17,Yes,No,Yes,Science,Yes,3,2,Yes,No,Yes,No,No,1,Academics
15,Yes,No,Yes,Science,Yes,4,5,Yes,No,Yes,Yes,No,2,Academics
14,Yes,No,Yes,Any language,Yes,5,3,No,No,Yes,Yes,Maybe,1,Academics
13,Yes,No,Yes,Mathematics,No,4,3,Yes,No,No,Yes,No,2,Academics
16,Yes,No,Yes,Science,Yes,4,1,Yes,No,Yes,Yes,No,1,Academics
15,Yes,No,Yes,Mathematics,Yes,4,4,Yes,No,Yes,Yes,No,1,Academics
12,Yes,No,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
17,Yes,No,Yes,Mathematics,No,4,1,No,No,Yes,No,No,2,Academics
16,Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
17,Yes,No,Yes,Mathematics,No,3,4,No,No,No,No,Maybe,1,Academics
15,Yes,No,Yes,Science,No,4,2,Yes,No,Yes,Yes,No,1,Academics
15,No,No,Yes,Science,Yes,5,2,Yes,No,Yes,Yes,Maybe,1,Academics
14,Yes,No,Yes,Mathematics,No,4,2,No,No,No,Yes,No,2,Academics
